Havana,Camila Cabello,104.988,0.523,-4.333,0.765,0.394,0.184,20.0,50.0,30.0,0.0,1
Give in To Me,Lika Morgan,124.071,0.871,-4.069,0.769,0.672,0.0873,30.0,45.0,25.0,0.0,1
Sugar,Maroon 5,120.076,0.788,-7.055,0.748,0.884,0.0591,47.5,30.833333333333336,15.0,6.666666666666667,0
Be Alright,Dean Lewis,126.684,0.586,-6.319,0.553,0.443,0.697,26.666666666666668,20.0,23.333333333333332,30.0,3
Shape of You,Ed Sheeran,95.977,0.652,-3.183,0.825,0.931,0.581,10.0,83.33333333333333,6.666666666666667,0.0,1
"""Im the One""",DJ Khaled,80.924,0.668,-4.284,0.609,0.811,0.0552,20.0,48.33333333333334,25.0,6.666666666666667,1
Symphony,Clean Bandit,122.863,0.629,-4.581,0.707,0.457,0.259,20.0,43.33333333333334,30.0,6.666666666666667,1
1-800-273-8255,Logic,100.021,0.574,-7.788,0.62,0.352,0.57,40.0,20.0,20.0,20.0,0
DNA.,Kendrick Lamar,139.913,0.523,-6.664,0.638,0.422,0.00454,25.0,30.0,20.0,25.0,1
Return Of The Mack - C & J Street Mix,Mark Morrison,95.487,0.833,-5.379,0.715,0.612,0.00631,30.0,55.00000000000001,8.333333333333332,6.666666666666667,1
This Is Me,Keala Settle,191.702,0.704,-7.276,0.284,0.1,0.00583,50.0,10.0,20.0,20.0,0
Wolves,Selena Gomez,124.946,0.807,-4.59,0.72,0.305,0.129,20.0,48.33333333333334,25.0,6.666666666666667,1
When I Fall In Love,Celine Dion,68.353,0.241,-13.251,0.19,0.107,0.577,0.0,15.0,42.5,42.5,2
